Localidade;Microrregiões Geográficas;Mesorregiões Geográficas;População;porte;IDHM;Índice de Gini;Desp. Saúde 2018;Desp. Saúde Per Capta 2018;PIB médio de 2014 a 2020;PIB 2014;PIB 2016;PIB 2018;PIB 2020;IDM 2014;IDM 2016;IDM 2018;IDM 2020;IEGM 2015;IEGM 2016;IEGM 2017;IEGM 2018
Abadia de Goiás;MRG GOIÂNIA;CENTRO GOIANO;19.128;pequeno porte I;0,708;0,43;5.963.972,83;311,79;25.578,34;23.960,79;20.664,57;26.506,00;31.182,00;7,06;7,22;7,74;6,02;B;B;B;B+
Abadiânia;MRG ENTORNO DE BRASÍLIA;LESTE GOIANO;17.232;pequeno porte I;0,689;0,44;10.094.604,89;585,81;16.960,34;15.900,94;15.628,40;16.133,00;20.179,00;6,83;5,83;6,60;6,04;B;B;B;B
Acreúna;MRG VALE DO RIO DOS BOIS;SUL GOIANO;21.568;pequeno porte II;0,686;0,54;13.255.598,07;614,60;29.537,59;24.160,44;28.048,90;30.271,00;35.670,00;6,94;7,47;6,84;7,01;C+;B;B+;B
Adelândia;MRG ANICUNS;CENTRO GOIANO;2.297;pequeno porte I;0,702;0,43;3.211.560,39;1.398,15;13.941,16;11.906,48;12.481,14;14.519,00;16.858,00;7,68;6,62;7,49;7,77;B+;B;A;A
Água Fria de Goiás;MRG ENTORNO DE BRASÍLIA;LESTE GOIANO;4.954;pequeno porte I;0,671;0,61;4.866.053,55;982,25;46.255,84;29.967,12;49.715,24;45.026,00;60.315,00;6,71;6,40;8,47;8,98;B;B;B;B
Água Limpa;MRG MEIA PONTE;SUL GOIANO;1.858;pequeno porte I;0,722;0,47;2.807.532,53;1.511,05;24.863,52;23.326,14;22.038,95;24.236,00;29.853,00;8,26;6,95;7,93;8,03;B;B;-;B+
Águas Lindas de Goiás;MRG ENTORNO DE BRASÍLIA;LESTE GOIANO;225.693;grande porte;0,686;0,45;53.776.320,22;238,27;8.760,52;7.836,24;8.510,85;9.100,00;9.595,00;3,85;4,45;3,65;3,90;B;B+;B+;B+
Alexânia;MRG ENTORNO DE BRASÍLIA;LESTE GOIANO;27.008;pequeno porte II;0,682;0,48;15.075.693,91;558,19;36.035,15;25.948,70;52.951,89;29.732,00;35.508,00;5,76;6,64;7,22;7,09;-;C+;B+;B+
Aloândia;MRG MEIA PONTE;SUL GOIANO;1.973;pequeno porte I;0,697;0,45;3.893.889,74;1.973,59;20.801,07;16.358,45;18.672,82;20.868,00;27.305,00;9,24;8,34;8,60;8,53;B+;B;A;B+
Alto Horizonte;MRG PORANGATU;NORTE GOIANO;6.072;pequeno porte I;0,719;0,50;14.916.918,32;2.456,67;106.120,22;88.893,00;69.673,86;146.833,00;119.081,00;6,80;7,24;7,07;7,42;-;B;B+;B+
Alto Paraíso de Goiás;MRG CHAPADA DOS VEADEIROS;NORTE GOIANO;10.306;pequeno porte I;0,713;0,66;5.239.295,97;508,37;22.424,23;16.255,80;21.484,13;22.173,00;29.784,00;7,37;7,39;7,87;7,27;-;-;B+;-
Alvorada do Norte;MRG VÃO DO PARANÃ;LESTE GOIANO;8.446;pequeno porte I;0,660;0,50;7.795.026,73;922,93;14.538,29;12.320,18;13.101,98;14.930,00;17.801,00;8,50;7,46;8,21;8,54;B;A;B+;A
Amaralina;MRG PORANGATU;NORTE GOIANO;3.268;pequeno porte I;0,609;0,56;2.973.464,88;909,87;16.201,70;12.307,31;13.710,48;15.906,00;22.883,00;5,41;7,91;7,33;7,28;A;B;B+;B+
Americano do Brasil;MRG ANICUNS;CENTRO GOIANO;5.259;pequeno porte I;0,700;0,42;4.484.945,77;852,81;11.969,72;9.996,70;13.707,17;11.153,00;13.022,00;7,88;7,92;8,33;8,06;B;B+;A;B+
Amorinópolis;MRG IPORÁ;CENTRO GOIANO;3.007;pequeno porte I;0,681;0,43;4.348.392,59;1.446,09;19.033,94;15.185,98;15.863,76;19.074,00;26.012,00;8,78;8,44;9,00;8,80;-;B;C+;C+
Anápolis;MRG ANÁPOLIS;CENTRO GOIANO;398.869;grande porte;0,737;0,52;283.360.946,94;710,41;36.705,41;35.152,18;35.372,45;37.277,00;39.020,00;6,99;7,02;6,29;6,17;B+;B;B+;B
Anhanguera;MRG CATALÃO;SUL GOIANO;924;pequeno porte I;0,725;0,39;2.024.901,73;2.191,45;15.791,82;13.871,53;14.291,76;15.726,00;19.278,00;7,27;6,29;7,90;8,08;C+;C;B;B+
Anicuns;MRG ANICUNS;CENTRO GOIANO;18.503;pequeno porte I;0,714;0,48;11.733.201,68;634,12;18.648,30;17.168,11;18.907,07;17.821,00;20.697,00;6,79;5,87;6,61;7,49;-;-;B+;B+
Aparecida de Goiânia;MRG GOIÂNIA;CENTRO GOIANO;527.796;grande porte;0,718;0,49;349.054.834,32;661,34;23.491,32;22.837,32;22.514,94;23.440,00;25.173,00;5,62;5,90;5,77;5,54;B+;B+;B+;B+
Aparecida do Rio Doce;MRG SUDOESTE DE GOIÁS;SUL GOIANO;2.907;pequeno porte I;0,693;0,52;4.144.152,29;1.425,58;30.979,45;26.726,42;29.396,37;30.113,00;37.682,00;6,42;7,35;7,62;7,62;-;B;A;B+
Aporé;MRG SUDOESTE DE GOIÁS;SUL GOIANO;4.325;pequeno porte I;0,693;0,46;6.818.042,33;1.576,43;67.129,08;45.005,11;73.609,20;76.880,00;73.022,00;8,42;8,61;7,70;8,02;B;C+;B+;B+
Araçu;MRG ANÁPOLIS;CENTRO GOIANO;3.799;pequeno porte I;0,693;0,54;4.686.885,91;1.233,72;15.178,09;12.293,24;13.826,10;15.008,00;19.585,00;8,22;8,28;8,01;7,12;B;B+;B+;B
Aragarças;MRG ARAGARÇAS;NOROESTE GOIANO;18.390;pequeno porte I;0,732;0,46;11.882.715,33;646,15;11.477,25;10.176,35;10.897,66;12.267,00;12.568,00;7,45;7,80;7,70;8,16;B+;C;B;B
Aragoiânia;MRG GOIÂNIA;CENTRO GOIANO;11.890;pequeno porte I;0,684;0,47;6.665.873,75;560,63;11.288,82;10.007,75;10.318,54;10.709,00;14.120,00;7,50;7,44;8,07;7,36;-;B;B;B
Araguapaz;MRG RIO VERMELHO;NOROESTE GOIANO;7.153;pequeno porte I;0,674;0,54;6.333.347,36;885,41;15.595,44;13.128,99;14.622,77;15.546,00;19.084,00;7,46;7,51;7,87;7,17;A;A;B+;A
Arenópolis;MRG ARAGARÇAS;NOROESTE GOIANO;2.946;pequeno porte I;0,687;0,51;3.783.562,27;1.284,30;47.314,20;35.466,32;30.767,47;52.960,00;70.063,00;9,00;9,28;8,72;8,64;-;C+;C+;-
Aruanã;MRG RIO VERMELHO;NOROESTE GOIANO;8.300;pequeno porte I;0,675;0,52;6.766.534,05;815,25;20.149,83;16.784,43;18.184,90;22.991,00;22.639,00;7,94;7,39;6,80;6,65;B+;B+;A;A
Aurilândia;MRG ANICUNS;CENTRO GOIANO;3.284;pequeno porte I;0,700;0,44;3.457.793,37;1.052,92;18.219,70;15.196,01;16.113,79;17.869,00;23.700,00;6,73;7,41;7,42;6,80;B+;B+;A;-
Avelinópolis;MRG ANICUNS;CENTRO GOIANO;2.868;pequeno porte I;0,660;0,59;2.810.434,52;979,93;20.057,62;19.133,13;18.425,35;18.325,00;24.347,00;8,76;9,18;8,70;8,79;A;B;B+;B+
Baliza;MRG ARAGARÇAS;NOROESTE GOIANO;3.351;pequeno porte I;0,655;0,58;3.949.046,42;1.178,47;15.830,44;13.901,33;15.828,43;15.566,00;18.026,00;5,59;5,37;5,55;7,11;B;B;B+;B
Barro Alto;MRG CERES;CENTRO GOIANO;10.371;pequeno porte I;0,742;0,45;11.312.897,48;1.090,82;88.029,88;56.628,81;77.671,72;84.166,00;133.653,00;7,92;7,76;7,84;7,24;B+;B;B+;B
Bela Vista de Goiás;MRG GOIÂNIA;CENTRO GOIANO;34.445;pequeno porte II;0,716;0,52;21.810.073,52;633,19;33.566,63;29.000,57;28.950,93;32.976,00;43.339,00;8,26;7,46;7,93;7,09;B+;B;B+;B+
Bom Jardim de Goiás;MRG ARAGARÇAS;NOROESTE GOIANO;7.826;pequeno porte I;0,670;0,50;5.091.756,82;650,62;17.893,71;15.322,58;16.231,26;19.075,00;20.946,00;7,65;8,41;7,67;8,07;B+;B+;A;B+
Bom Jesus de Goiás;MRG MEIA PONTE;SUL GOIANO;23.958;pequeno porte II;0,701;0,51;12.053.071,80;503,09;31.018,82;25.161,74;32.368,53;30.150,00;36.395,00;6,66;6,84;7,32;7,73;B;B;B;B
Bonfinópolis;MRG GOIÂNIA;CENTRO GOIANO;10.296;pequeno porte I;0,683;0,45;5.388.128,03;523,32;9.100,15;8.426,65;8.096,93;9.178,00;10.699,00;8,22;7,18;7,34;6,98;C+;B;A;A
Bonópolis;MRG PORANGATU;NORTE GOIANO;3.299;pequeno porte I;0,630;0,43;3.213.392,02;974,05;22.197,63;18.618,96;22.457,55;22.149,00;25.565,00;6,99;7,59;7,83;7,29;B+;B+;A;B+
Brazabrantes;MRG ANÁPOLIS;CENTRO GOIANO;3.992;pequeno porte I;0,701;0,41;4.097.980,46;1.026,55;26.389,71;21.973,85;31.857,99;29.765,00;21.962,00;7,90;7,35;8,08;6,65;A;B+;A;A
Britânia;MRG RIO VERMELHO;NOROESTE GOIANO;5.695;pequeno porte I;0,672;0,56;5.741.398,01;1.008,15;20.357,63;16.238,65;17.975,85;19.624,00;27.592,00;8,30;8,20;8,50;7,00;B;B+;-;A
Buriti Alegre;MRG MEIA PONTE;SUL GOIANO;10.495;pequeno porte I;0,710;0,45;6.325.487,87;602,71;31.618,83;21.815,25;31.622,05;32.991,00;40.047,00;6,30;7,37;8,40;7,91;B+;B+;B+;B
Buriti de Goiás;MRG ANICUNS;CENTRO GOIANO;2.732;pequeno porte I;0,687;0,49;4.274.836,50;1.564,73;15.783,97;13.515,02;14.273,85;15.223,00;20.124,00;8,98;8,76;9,23;8,68;-;A;B+;B
Buritinópolis;MRG VÃO DO PARANÃ;LESTE GOIANO;3.145;pequeno porte I;0,704;0,78;3.238.924,41;1.029,86;20.274,23;7.685,71;24.767,22;22.850,00;25.794,00;6,13;6,32;7,97;7,98;B+;C+;B;-
Cabeceiras;MRG ENTORNO DE BRASÍLIA;LESTE GOIANO;7.560;pequeno porte I;0,668;0,50;4.926.537,70;651,66;31.781,46;26.497,59;34.393,25;27.594,00;38.641,00;7,30;8,23;7,67;8,10;-;B+;A;A
