Localidade;Microrregiões Geográficas;Mesorregiões Geográficas;Porte;População 2015;População 2016;População 2017;População 2018;PIB 2015;PIB 2016;PIB 2017;PIB 2018;Desp. Saúde 2015;Desp. Saúde 2016;Desp. Saúde 2017;Desp. Saúde 2018;IEGM 2015;IEGM 2016;IEGM 2017;IEGM 2018;IDM 2014;IDM 2016;IDM 2018;IDM 2020
Abadia de Goiás;MRG GOIÂNIA;CENTRO GOIANO;pequeno porte I;7895;8053;8207;8583;21.748,15;20.664,57;28.507,00;26.506,00;4.916.545,60;5.364.214,65;5.557.117,17;5.963.972,83;B;B;B;B+;7,06;7,22;7,74;6,02
Abadiânia;MRG ENTORNO DE BRASÍLIA;LESTE GOIANO;pequeno porte I;18069;18427;18775;19614;15.994,41;15.628,40;16.157,00;16.133,00;6.793.578,18;7.438.066,12;8.568.409,09;10.094.604,89;B;B;B;B;6,83;5,83;6,60;6,04
Acreúna;MRG VALE DO RIO DOS BOIS;SUL GOIANO;pequeno porte II;21730;21905;22076;22182;23.910,27;28.048,90;30.454,00;30.271,00;11.182.040,97;11.147.338,46;11.831.658,2;13.255.598,07;C+;B;B+;B;6,94;7,47;6,84;7,01
Adelândia;MRG ANICUNS;CENTRO GOIANO;pequeno porte I;2557;2561;2564;2517;11.798,79;12.481,14;14.123,00;14.519,00;2.187.307,57;2.564.284,46;2.767.116,96;3.211.560,39;B+;B;A;A;7,68;6,62;7,49;7,77
Água Fria de Goiás;MRG ENTORNO DE BRASÍLIA;LESTE GOIANO;pequeno porte I;5507;5560;5613;5676;36.544,43;49.715,24;38.994,00;45.026,00;3.471.918,16;4.392.692,09;3.735.101,25;4.866.053,55;B;B;B;B;6,71;6,40;8,47;8,98
Água Limpa;MRG MEIA PONTE;SUL GOIANO;pequeno porte I;1993;1980;1967;1872;22.792,39;22.038,95;22.565,00;24.236,00;2.411.707,89;2.512.088,08;2.766.143,05;2.807.532,53;B;B;-;B+;8,26;6,95;7,93;8,03
Águas Lindas de Goiás;MRG ENTORNO DE BRASÍLIA;LESTE GOIANO;grande porte;187072;191499;195810;207070;8.250,14;8.510,85;9.108,00;9.100,00;41.816.052,63;44.914.723,82;47.171.017,51;53.776.320,22;B;B+;B+;B+;3,85;4,45;3,65;3,90
Alexânia;MRG ENTORNO DE BRASÍLIA;LESTE GOIANO;pequeno porte II;26135;26457;26770;27288;27.954,58;52.951,89;29.187,00;29.732,00;13.475.981,82;15.121.065,77;13.000.000;15.075.693,91;-;C+;B+;B+;5,76;6,64;7,22;7,09
Aloândia;MRG MEIA PONTE;SUL GOIANO;pequeno porte I;2079;2075;2071;2005;17.118,20;18.672,82;18.886,00;20.868,00;3.469.262,39;2.926.760,15;2.924.216,01;3.893.889,74;B+;B;A;B+;9,24;8,34;8,60;8,53
Alto Horizonte;MRG PORANGATU;NORTE GOIANO;pequeno porte I;5470;5629;5784;6218;93.109,00;69.673,86;119.626,00;146.833,00;10.215.838,25;10.023.609,63;10.102.197,23;14.916.918,32;-;B;B+;B+;6,80;7,24;7,07;7,42
Alto Paraíso de Goiás;MRG CHAPADA DOS VEADEIROS;NORTE GOIANO;pequeno porte I;7391;7454;7514;7558;18.751,91;21.484,13;22.025,00;22.173,00;4.747.330,27;5.095.572,55;3.273.319,35;5.239.295,97;-;-;B+;-;7,37;7,39;7,87;7,27
Alvorada do Norte;MRG VÃO DO PARANÃ;LESTE GOIANO;pequeno porte I;8549;8598;8645;8614;12.725,14;13.101,98;13.769,00;14.930,00;6.019.509,43;6.646.916,29;7.012.794,98;7.795.026,73;B;A;B+;A;8,50;7,46;8,21;8,54
Amaralina;MRG PORANGATU;NORTE GOIANO;pequeno porte I;3691;3723;3754;3778;12.974,27;13.710,48;15.707,00;15.906,00;2.532.175,28;3.183.008,13;2.796.925,91;2.973.464,88;A;B;B+;B+;5,41;7,91;7,33;7,28
Americano do Brasil;MRG ANICUNS;CENTRO GOIANO;pequeno porte I;5918;5969;6018;6057;12.411,30;13.707,17;10.620,00;11.153,00;3.563.442,86;4.510.149,99;3.827.344,39;4.484.945,77;B;B+;A;B+;7,88;7,92;8,33;8,06
Amorinópolis;MRG IPORÁ;CENTRO GOIANO;pequeno porte I;3487;3447;3408;3185;14.831,02;15.863,76;17.196,00;19.074,00;3.065.335,78;3.482.862,61;3.943.457,48;4.348.392,59;-;B;C+;C+;8,78;8,44;9,00;8,80
Anápolis;MRG ANÁPOLIS;CENTRO GOIANO;grande porte;366491;370875;375142;381970;36.293,81;35.372,45;37.864,00;37.277,00;245.430.551,54;275.916.502,31;289.433.548,23;283.360.946,94;B+;B;B+;B;6,99;7,02;6,29;6,17
Anhanguera;MRG CATALÃO;SUL GOIANO;pequeno porte I;1104;1115;1126;1137;14.408,17;14.291,76;15.278,00;15.726,00;1.620.164,86;2.995.336,11;2.022.287,94;2.024.901,73;C+;C;B;B+;7,27;6,29;7,90;8,08
Anicuns;MRG ANICUNS;CENTRO GOIANO;pequeno porte I;21478;21614;21746;21717;16.937,59;18.907,07;17.725,00;17.821,00;10.286.991,01;10.406.027,77;10.237.758,27;11.733.201,68;-;-;B+;B+;6,79;5,87;6,61;7,49
Aparecida de Goiânia;MRG GOIÂNIA;CENTRO GOIANO;grande porte;521910;532135;542090;565957;22.081,12;22.514,94;23.765,00;23.440,00;270.635.049,97;325.540.013,44;307.228.103,33;349.054.834,32;B+;B+;B+;B+;5,62;5,90;5,77;5,54
